URL,Modèle,Moteur,Longueur(pieds),Catégorie,Marque,Année
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_ZR7000_SnoPro129.jpg,2016 Arctic Cat ZR 7000 Sno Pro 129,4-Stroke,10.08,performance,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_ZR9000_Limited129.jpg,2016 Arctic Cat ZR 9000 Limited 129,4-Stroke,10.08,performance,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_ZR7000_LXR129.jpg,2016 Arctic Cat ZR 7000 LXR 129,4-Stroke,10.08,performance,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_ZR9000_RR129.jpg,2016 Arctic Cat ZR 9000 RR 129,4-Stroke,10.08,performance,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_Apex_LE.jpg,2016 Yamaha Apex LE,4-Stroke,9.37,performance,yamaha,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_ZR7000_Limited129.jpg,2016 Arctic Cat ZR 7000 Limited 129,4-Stroke,10.08,performance,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_Apex_Base.jpg,2016 Yamaha Apex ,4-Stroke,9.23,performance,yamaha,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_ZR9000_SnoPro129.jpg,2016 Arctic Cat ZR 9000 Sno Pro 129,4-Stroke,10.08,performance,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_Apex_XTX.jpg,2016 Yamaha Apex X-TX,4-Stroke,10.09,performance,yamaha,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_Apex_XTX175LE.jpg,2016 Yamaha Apex X-TX 1.75 LE,4-Stroke,10.09,performance,yamaha,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_Apex_XTX175.jpg,2016 Yamaha Apex X-TX 1.75,4-Stroke,10.09,performance,yamaha,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_ZR7000_RR129.jpg,2016 Arctic Cat ZR 7000 RR 129,4-Stroke,10.08,performance,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_Pantera_7000.jpg,2016 Arctic Cat Pantera  7000,4-Stroke,10.58,touring,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_RS_VentureTF.jpg,2016 Yamaha RS Venture TF,4-Stroke,10.55,touring,yamaha,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_GrandTouringLE_1200.jpg,2016 Ski-Doo Grand Touring LE 1200 4-TEC,4-Stroke,10.58,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_GrandTouringLE_900.jpg,2016 Ski-Doo Grand Touring LE 900 ACE,4-Stroke,10.58,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_RS_Venture.jpg,2016 Yamaha RS Venture,4-Stroke,10.55,touring,yamaha,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_ExpeditionSport_900ACE.jpg,2016 Ski-Doo Expedition Sport 900 ACE,4-Stroke,10.97,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_GrandTouringSE_12004TEC.jpg,2016 Ski-Doo Grand Touring SE 1200 4-TEC,4-Stroke,10.58,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_GrandTouringSport_600.jpg,2016 Ski-Doo Grand Touring Sport 600 ACE,4-Stroke,10.2,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_Venture_MP.jpg,2016 Yamaha Venture MP,4-Stroke,10.35,touring,yamaha,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_ExpeditionSport_600ACE.jpg,2016 Ski-Doo Expedition Sport 600 ACE,4-Stroke,10.97,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_Pantera_3000.jpg,2016 Arctic Cat Pantera  3000,4-Stroke,10.58,touring,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_ExpeditionLE_900.jpg,2016 Ski-Doo Expedition LE 900 ACE,4-Stroke,10.58,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_Pantera_7000XTLTD.jpg,2016 Arctic Cat Pantera  7000 XT Limited,4-Stroke,10.92,touring,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_ArcticCat_Pantera_7000LTD.jpg,2016 Arctic Cat Pantera  7000 Limited,4-Stroke,10.58,touring,arctic-cat,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_ExpeditionLE_12004TEC.jpg,2016 Ski-Doo Expedition LE 1200 4-TEC,4-Stroke,10.58,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_SkiDoo_ExpeditionSE_12004-TEC.jpg,2016 Ski-Doo Expedition SE 1200 4-TEC,4-Stroke,40,touring,ski-doo,2016
https://www.snowmobile.com/specs/sites/sno/images/data/normal/2016_Yamaha_RS_VentureTFLE.jpg,2016 Yamaha RS Venture TF LE,4-Stroke,10.55,touring,yamaha,2016
